,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
97,98,1120,9,4774354,86287,74953,503,4849307,86790,4,96269,1711009,21537,2637553,17589,4348562,39126,110,6,7,38066,True
98,99,1120,9,4704853,76123,75731,502,4780584,76625,3,84929,2053525,25331,2721921,18094,4775446,43425,110,6,7,42813,True
99,100,1120,9,3854539,71767,75140,502,3929679,72269,3,80069,2078348,25335,2794109,18595,4872457,43930,106,6,7,42654,True
100,101,792,9,3213778,69926,74915,502,3288693,70428,3,78449,1814503,21348,2642902,17579,4457405,38927,102,6,7,36541,True
101,102,792,9,1436496,49562,75310,501,1511806,50063,2,55499,1329408,17219,2711057,18073,4040465,35292,99,6,7,29762,True
102,103,792,9,2758982,56025,74120,501,2833102,56526,2,62654,1632491,20409,2785175,18579,4417666,38988,100,6,7,35677,True
103,104,300,9,2188317,32667,74919,501,2263236,33168,2,36399,740647,8520,2644628,17613,3385275,26133,92,6,7,16169,True
104,105,300,9,2483535,41487,76546,504,2560081,41991,3,46227,766646,9891,2639359,17615,3406005,27506,92,6,7,17033,True
105,106,300,9,2399370,47787,75843,504,2475213,48291,4,53247,852346,10638,2566125,17106,3418471,27744,100,6,7,20948,True
106,107,1404,9,4052428,90930,76309,507,4128737,91437,3,101914,1675241,21949,2796146,18598,4471387,40547,100,6,7,37850,True
107,108,1404,9,4553453,95164,74736,502,4628189,95666,3,106963,1519398,18278,2795710,18585,4315108,36863,96,6,7,32581,True
108,109,1404,9,3235355,87385,75315,508,3310670,87893,3,98089,1618850,20297,2781907,18575,4400757,38872,97,6,7,35041,True
109,110,1200,9,3426082,87739,75057,501,3501139,88240,2,97889,1764103,20168,2723158,18072,4487261,38240,97,6,7,35034,True
110,111,1200,9,5366514,103106,76088,503,5442602,103609,3,115034,1168010,14434,2556574,17058,3724584,31492,100,6,7,27739,True
111,112,900,9,1625646,43377,74638,501,1700284,43878,2,48333,907797,11720,2708123,18081,3615920,29801,92,6,7,19922,True
112,113,900,9,2330304,47472,75093,501,2405397,47973,2,52896,1254916,15248,2634418,17569,3889334,32817,102,6,7,27528,True
113,114,900,9,3477330,63012,74940,502,3552270,63514,3,70212,1472736,18107,2787138,18588,4259874,36695,100,6,7,31097,True
114,115,560,9,1370025,29194,76121,501,1446146,29695,2,32519,591626,7382,2785454,18556,3377080,25938,81,6,7,13210,True
115,116,560,9,1792954,32786,75388,501,1868342,33287,2,36515,553585,6622,2705466,18064,3259051,24686,82,6,7,11952,True
116,117,560,9,729117,25026,75390,501,804507,25527,2,27875,389797,5264,2783514,18559,3173311,23823,79,6,7,9571,True
117,118,612,9,7859222,140385,76038,505,7935260,140890,5,157839,1215995,15369,2636227,17578,3852222,32947,96,6,7,26099,True
118,119,612,9,3441660,96677,74493,502,3516153,97179,3,108735,1468923,17991,2709542,18075,4178465,36066,96,6,7,30688,True
119,120,612,9,3727630,94599,75613,505,3803243,95104,3,106863,1357569,16478,2792357,18582,4149926,35060,93,6,7,27727,True
120,121,588,9,1679450,43666,74956,506,1754406,44172,3,48684,1388186,16621,2729235,18171,4117421,34792,99,6,7,30531,True
121,122,588,9,2344129,48810,76900,516,2421029,49326,3,54417,1481087,18019,2797791,18620,4278878,36639,97,6,7,31204,True
122,123,588,9,3468163,62355,75165,504,3543328,62859,4,69510,1314500,15950,2722188,18114,4036688,34064,95,6,7,27510,True
123,124,400,9,987191,19752,75218,501,1062409,20253,2,22008,1131111,13782,2637154,17571,3768265,31353,96,6,7,23135,True
124,125,400,9,1912097,24164,75168,501,1987265,24665,2,26903,740461,9262,2713865,18067,3454326,27329,91,6,7,17604,True
125,126,400,9,962691,19647,74521,501,1037212,20148,2,21891,858027,11045,2715589,18070,3573616,29115,91,6,7,19219,True
126,127,1980,11,13029679,252416,75402,502,13105081,252918,3,276589,925734,12103,3389205,22578,4314939,34681,115,7,8,20496,True
127,128,1980,11,9760364,213306,75763,501,9836127,213807,2,233391,1001214,12784,3391637,22581,4392851,35365,116,7,8,21688,True
128,129,1980,11,8800986,251881,75195,502,8876181,252383,3,276215,1132222,13565,3314119,22095,4446341,35660,117,7,8,23075,True
129,130,2025,11,3161693,103538,75516,501,3237209,104039,2,113183,941815,11854,3312930,22077,4254745,33931,133,7,8,27554,True
130,131,2025,11,3585532,102089,75100,501,3660632,102590,2,111599,1359094,16071,3390176,22586,4749270,38657,130,7,8,32225,True
131,132,2025,11,4789389,104665,75786,501,4865175,105166,2,114415,1148557,13618,3245711,21582,4394268,35200,131,7,8,27910,True
132,133,3840,11,5966597,146449,75252,501,6041849,146950,2,160397,1976865,24607,3387035,22606,5363900,47213,135,7,8,45951,True
133,134,3840,11,5083657,145656,75865,501,5159522,146157,2,159803,1580311,18774,3462198,23087,5042509,41861,125,7,8,35046,True
134,135,3840,11,5642730,142682,74792,501,5717522,143183,2,156635,1962159,23625,3386257,22591,5348416,46216,133,7,8,44720,True
135,136,1260,11,2506488,64595,76057,501,2582545,65096,2,70511,710746,9166,3314488,22080,4025234,31246,123,7,8,19454,True
136,137,1260,11,2547305,63940,76294,501,2623599,64441,2,69796,774598,9939,3387996,22586,4162594,32525,125,7,8,22209,True
137,138,1260,11,1627791,58962,74129,501,1701920,59463,2,64362,851946,10123,3384971,22584,4236917,32707,120,7,8,20542,True
138,139,1080,11,1529897,34558,76503,501,1606400,35059,2,37743,901497,11060,3389899,22583,4291396,33643,119,7,8,21122,True
139,140,2400,11,3070988,209753,76782,501,3147770,210254,2,229199,1111203,13117,3384873,22586,4496076,35703,128,7,8,27583,True
140,141,2400,11,3592612,213528,75432,501,3668044,214029,2,233324,1150409,13925,3385545,22582,4535954,36507,129,7,8,29541,True
141,142,2400,11,2895974,211112,74830,501,2970804,211613,2,230684,1307407,15967,3381898,22579,4689305,38546,132,7,8,31700,True
142,143,4165,11,5848812,216790,74306,501,5923118,217291,2,237419,2523524,31260,3468260,23155,5991784,54415,141,7,8,55352,True
143,144,4165,11,9516653,254819,74919,502,9591572,255321,3,279395,2642675,31337,3466955,23087,6109630,54424,142,7,8,56364,True
144,145,4165,11,5011474,213181,74878,501,5086352,213682,2,233657,2248827,28489,3459175,23093,5708002,51582,140,7,8,52124,True
145,146,1050,11,3545063,128976,75044,501,3620107,129477,2,140991,1895921,23592,3473206,23100,5369127,46692,137,7,8,42211,True
146,147,1050,11,3013337,126239,75282,501,3088619,126740,2,137999,2264890,27714,3237955,21600,5502845,49314,141,7,8,46988,True
147,148,1050,11,6909279,161820,75157,502,6984436,162322,3,176895,1980310,25122,3318544,22105,5298854,47227,138,7,8,43369,True
148,149,4320,11,6223955,234333,75738,501,6299693,234834,2,257141,2086588,24550,3161534,21088,5248122,45638,146,7,8,46692,True
149,150,4320,11,6410695,249050,76361,501,6487056,249551,2,273059,2259943,27381,3315602,22099,5575545,49480,147,7,8,52218,True
150,151,4320,11,5276705,243674,76636,501,5353341,244175,2,266723,1570663,20275,3234415,21574,4805078,41849,143,7,8,41703,True
