,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
10,10,10,10,10,10,10,10,106,106,106.0,106.0,106.0,106.0,,,,36,122,6,1146662,16508,74461,501,-291303927,634018,2,19695,1373607,17413,909931,6043,-59448158,964192,43,3,6,26191,True
11,11,11,11,11,11,11,11,107,107,107.0,107.0,107.0,107.0,,,,36,122,6,1243828,17071,76841,501,706353373,623004,2,20444,1642873,21237,1054701,7047,-59209704,797988,51,3,7,32221,True
12,12,12,12,12,12,12,12,108,108,108.0,108.0,108.0,108.0,,,,37,195,6,2020361,24103,75406,501,-1284488461,349208,2,28984,1850837,22796,1134647,7553,-28058064,642792,54,3,7,37083,True
13,13,13,13,13,13,13,13,109,109,109.0,109.0,109.0,109.0,,,,37,195,6,1119392,19921,74488,501,1004775520,202110,2,23919,2020769,24332,1209461,8050,12920920,791438,51,3,7,37832,True
14,14,14,14,14,14,14,14,110,110,110.0,110.0,110.0,110.0,,,,37,195,6,1774373,23036,75375,501,1710581948,217685,2,27658,1996514,23816,1208601,8048,-73589770,423048,51,3,7,38158,True
15,15,15,15,15,15,15,15,111,111,111.0,111.0,111.0,111.0,,,,38,152,6,567736,15093,75085,501,-1290467549,493564,2,18104,1531162,20190,1058045,7043,23302863,936165,54,3,7,31942,True
16,16,16,16,16,16,16,16,112,112,112.0,112.0,112.0,112.0,,,,38,152,6,776215,16435,76227,501,-289852644,616936,2,19904,1829420,22380,1135888,7541,61861232,679526,53,3,7,35449,True
17,17,17,17,17,17,17,17,113,113,113.0,113.0,113.0,113.0,,,,38,152,6,626614,15203,75053,501,2003508335,415704,2,18374,1744143,20111,981150,6548,53626465,806636,46,3,6,30619,True
18,18,18,18,18,18,18,18,114,114,114.0,114.0,114.0,114.0,,,,39,184,6,1899545,22041,75441,501,2013824902,780336,2,26474,1422206,17542,758984,5039,84362380,358067,39,3,6,25084,True
19,19,19,19,19,19,19,19,115,115,115.0,115.0,115.0,115.0,,,,39,184,6,2111287,24616,75336,501,-579001477,550702,2,29679,1514117,17722,831225,5557,-43582606,316395,40,3,6,25830,True
20,20,20,20,20,20,20,20,116,116,116.0,116.0,116.0,116.0,,,,39,184,6,1860553,22090,76207,501,2001936760,845182,2,26703,1606822,18417,762959,5050,-12890657,911203,39,3,6,26624,True
21,21,21,21,21,21,21,21,117,117,117.0,117.0,117.0,117.0,,,,40,128,6,1245080,16907,76314,501,-1288360326,134816,2,20174,1688261,20480,1203826,8049,73136696,357058,52,3,7,31130,True
22,22,22,22,22,22,22,22,118,118,118.0,118.0,118.0,118.0,,,,40,128,6,1647305,24145,76630,502,-1281175816,449294,3,28573,1785293,20748,1207535,8051,-68028688,643995,51,3,7,31474,True
23,23,23,23,23,23,23,23,119,119,119.0,119.0,119.0,119.0,,,,40,128,6,1479627,17754,74789,501,2012435328,209530,2,21097,1614001,20071,1208261,8054,-11533214,825000,51,3,7,30339,True
24,24,24,24,24,24,24,24,120,120,120.0,120.0,120.0,120.0,,,,41,146,6,1072878,24371,73896,506,-1285793104,874631,3,29077,1694005,22947,1062892,7071,11027588,320072,49,3,7,33806,True
25,25,25,25,25,25,25,25,121,121,121.0,121.0,121.0,121.0,,,,41,146,6,1327749,26344,77329,513,709247938,461142,3,31429,1470121,20299,908737,6058,27136574,852714,40,3,6,29401,True
26,26,26,26,26,26,26,26,122,122,122.0,122.0,122.0,122.0,,,,41,146,6,1046579,24041,77418,512,-290471308,173659,3,28993,2267462,28913,1212127,8070,10438767,373966,55,3,7,44896,True
27,27,27,27,27,27,27,27,123,123,123.0,123.0,123.0,123.0,,,,42,155,6,2067866,21329,74619,501,722172584,409150,2,25455,1737658,22389,1213295,8068,60656671,782742,55,3,7,36126,True
28,28,28,28,28,28,28,28,124,124,124.0,124.0,124.0,124.0,,,,42,155,6,1092582,17156,76012,501,707369892,252971,2,20655,2121685,25086,983353,6547,-67579848,984697,47,3,7,36957,True
29,29,29,29,29,29,29,29,125,125,125.0,125.0,125.0,125.0,,,,42,155,6,1852601,20451,74903,501,-1576442064,204760,2,24591,1804687,22593,1058911,7055,-29954814,907536,50,3,7,33976,True
30,30,30,30,30,30,30,30,66,66,66.0,66.0,66.0,66.0,66.0,,,23,195,10,872507,17818,74046,501,1707872363,891595,2,19664,3327312,40771,1439403,9579,52900435,753150,86,4,9,56387,True
31,31,31,31,31,31,31,31,67,67,67.0,67.0,67.0,67.0,67.0,,,23,195,10,924722,18767,75811,501,-585932460,757804,2,20714,3019977,36024,1664289,11077,59368532,894202,88,4,9,49972,True
